titulo,precio,provincia,num_dormitorios,num_banos,area,num_garages,ciudad,sector,lugar,rango_area,tipo_precio
Hermoso departamento de arriendo sector iaquito,500,Pichincha,2.0,2.0,95.0,1.0,Quito,Iaquito,Quito,80-120,Medio
Hermosa suite de arriendo sector iaquito,375,Pichincha,1.0,1.0,65.0,1.0,Quito,Quito,Quito,50-80,Economico
Hermoso departamento de oportunidad de arriendo sector Republica del Salvador,650,Pichincha,2.0,2.0,120.0,1.0,Quito 170135,Av. Repblica De El Salvador,Quito 170135,80-120,Medio
Hermoso departamento de arriendo de 240 metros Ponceano alto 3 dormitorios $560,560,Pichincha,3.0,3.0,240.0,2.0,Quito,Albert Einstein,Quito,180-250,Medio
Hermoso departamento de arriendo de oportunidad en la urbanizacion El Condado,580,Pichincha,3.0,4.0,128.0,2.0,Quito,Calle C,Quito,120-180,Medio
Hermosa suite de arriendo de oportunidad sector Quito Tenis,460,Pichincha,1.0,1.0,58.0,1.0,Quito,Quito Tenis,Quito,50-80,Medio
Hermoso departamento en renta sector Quito Tenis,435,Pichincha,2.0,2.0,98.0,1.0,Quito 170104,Quito Tenis,Quito 170104,80-120,Medio
Hermoso departamento de arriendo en la Urb. El condado,750,Pichincha,3.0,3.0,190.0,1.0,Quito 170134,Vgw2+Q5J,Quito 170134,180-250,Medio
Hermosa suite amoblada de arriendo sector Quito Tenis,570,Pichincha,1.0,1.0,61.0,1.0,Quito 170104,Quito Tenis,Quito 170104,50-80,Medio
Hermoso departamento en renta/venta sector Quito Tenis,1800,Pichincha,4.0,3.0,380.0,3.0,Quito 170104,Quito Tenis,Quito 170104,250-400,Lujo
Hermosa suite de arriendo de oportunidad sector Quito Tenis,500,Pichincha,1.0,1.0,70.0,1.0,Quito 170104,Quito Tenis,Quito 170104,50-80,Medio
Hermoso departamento de arriendo sector Santa Luca dos dormitorios de oportunidad,360,Pichincha,2.0,2.0,105.0,1.0,Quito,Santa Lucia,Quito,80-120,Economico
Hermoso departamento de arriendo sector Catolica 3 dormitorios de oportunidad,560,Pichincha,3.0,3.0,120.0,1.0,Quito,Catlica,Quito,80-120,Medio
Hermoso departamento de arriendo duplex ponceano alto,450,Pichincha,3.0,3.0,130.0,1.0,Quito,Ponceano Alto,Quito,120-180,Medio
Hermosa casa de arriendo de oportunidad sector Santa Luca 3 dormitorios,550,Pichincha,3.0,3.0,140.0,2.0,Quito,Santa Lucia,Quito,120-180,Medio
Hermoso departamento de arriendo de oportunidad 3 dormitorios Ponceano alto,400,Pichincha,3.0,2.0,105.0,1.0,Quito,Ponceano Alto,Quito,80-120,Medio
Hermoso departamento de arriendo de oportunidad sector Monteserrin 2 dormitorios,400,Pichincha,2.0,2.0,90.0,1.0,Quito,Monteserrin,Quito,80-120,Medio
Casa en renta con patio! Casa de arriendo Pomasqui 3 dormitorios 2 plantas,400,Pichincha,3.0,3.0,100.0,2.0,Quito,Pomasqui,Quito,80-120,Medio
Hermosa casa de arriendo sector Ponceano colegio Einstein,600,Pichincha,4.0,3.0,130.0,2.0,Quito,Ponceano Alto,Quito,120-180,Medio
Hermoso departamento de arriendo sector Carolina Alianza Francesa,550,Pichincha,3.0,2.0,110.0,1.0,Quito,La Carolina,Quito,80-120,Medio
Hermoso departamento de arriendo de oportunidad sector Quicentro Megamaxi,500,Pichincha,2.0,2.0,100.0,1.0,Quito,Avenida De Los Shyris,Quito,80-120,Medio
Hermoso departamento de arriendo amoblado Gonzlez Surez,600,Pichincha,2.0,3.0,90.0,1.0,Quito,Gonzalez Suarez,Quito,80-120,Medio
Hermoso departamento de arriendo sector El Bosque,690,Pichincha,3.0,2.0,120.0,1.0,Quito,El Bosque,Quito,80-120,Medio
Hermosa suite amoblada de arriendo sector Quito Tennis,450,Pichincha,1.0,2.0,75.0,1.0,Quito,Quito Tenis,Quito,50-80,Medio
"Departamento de Arriendo , Excelente Ubicacin",600,Pichincha,3.0,2.0,160.0,1.0,Quito,Av. Eloy Alfaro,Quito,120-180,Medio
Hermoso Departamento de Arriendo con vista espectacular y ubicacin excepcional,700,Pichincha,3.0,3.0,150.0,2.0,Av. Eloy Alfaro En La Ciudad De Quito,Av. Eloy Alfaro En La Ciudad De Quito,Av. Eloy Alfaro En La Ciudad De Quito,120-180,Medio
"Arriendo Excelente Departamento Con 3 Terrazas, Sector Granda Centeno",1200,Pichincha,4.0,4.0,350.0,2.0,Quito,Juan Jos De Villalengua,Quito,250-400,Lujo
Se arrienda local comercial grande,600,Pichincha,3.0,2.0,90.0,1.0,Machachi,Machachi,Machachi,80-120,Medio
Local Comercial de Renta en Excelente ubicacin,1200,Pichincha,3.0,1.0,100.0,1.0,Quito,Av. De Los Shyris,Quito,80-120,Lujo
DEPARTAMENTO DE 3 DORMITORIOS EN PONCEANO,460,Pichincha,3.0,2.0,115.0,2.0,Quito,Mariano Paredes,Quito,80-120,Medio
Arriendo Bonito Departamento Sector Bosmediano,550,Pichincha,3.0,2.0,92.0,2.0,Quito,Jose Bosmediano,Quito,80-120,Medio
Rento Penthouse Sector norte de Quito,2000,Pichincha,5.0,5.0,300.0,3.0,Quito,Luxemburgo,Quito,250-400,Lujo
Suite amoblada Av.Diego de Almagro y Juan Severino,680,Pichincha,1.0,2.0,51.0,1.0,Quito,Diego De Almagro,Quito,50-80,Medio
SE ARRIENDA MINIDEPARTAMENTO NORTE DE QUITO,115,Pichincha,3.0,1.0,80.0,1.0,Quito,Comit Del Pueblo,Quito,50-80,Economico
Rento amplio departamento en la Carolina,520,Pichincha,3.0,2.0,150.0,1.0,Quito,Av. Atahualpa & Iaquito,Quito,120-180,Medio
Rento departamento en sector la Carolina,750,Pichincha,2.0,2.0,87.0,1.0,Quito,Catalina De Aldaz & Av. Portugal,Quito,80-120,Lujo
"Rento Departamento Amoblado, Sector La Carolina",1390,Pichincha,3.0,3.0,126.0,1.0,Quito,Catalina De Aldaz & Avenida Portugal,Quito,120-180,Lujo
Rento Oficina-Consultorio en la Marina de Jess,520,Pichincha,3.0,2.0,84.0,2.0,Quito,Calle B & San Gabriel,Quito,80-120,Medio
RENTO DEPARTAMENTO EN EL CONJUNTO SAN MARTIN,450,Pichincha,2.0,1.0,69.0,1.0,Quito,Hernandez De Giron & Pedregal,Quito,50-80,Medio
"En Renta Casa en Conj Terracota B, Sangolqu",350,Pichincha,2.0,2.0,90.0,1.0,Sangolqu,Venezuela,Sangolqu,80-120,Medio
"LOCAL COMERCIAL EN ARRIENDO, AV.6 DE DIC. -QUITO",1200,Pichincha,3.0,2.0,186.0,1.0,Quito,Av. 6 De Diciembre,Quito,180-250,Lujo
"RENTA HERMOSO DEPARTAMENTO DPLEX, USHIMANA",380,Pichincha,3.0,2.0,145.0,2.0,Quito,Ushimana,Quito,120-180,Medio
OFICINAS EN RENTA SECTOR REPBLICA DEL SALVADOR,2800,Pichincha,3.0,3.0,216.0,3.0,Quito,Av. Republica Del Salvador & Mosc,Quito,180-250,Lujo
EN RENTA LOCAL COMERCIAL SECTOR COLIBR SANGOLQU,800,Pichincha,2.5,1.5,101.0,2.0,Sangolqu,Avenida General Rumiahui,Sangolqu,80-120,Lujo
"OFICINAS DE RENTA 143 M2, SECTOR IAQUITO",650,Pichincha,3.0,2.0,143.0,1.0,Quito,Av. Gaspar De Villarroel & Av. Amazonas,Quito,120-180,Medio
EN RENTA LOCAL COMERCIAL SECTOR COLIBR SANGOLQU,800,Pichincha,2.5,1.5,100.0,1.0,Sangolqu,Del Colibr,Sangolqu,80-120,Lujo
AMPLIAS BODEGAS DE RENTA PUSUQU SECTOR 4 ESQUINAS,380,Pichincha,3.0,2.0,90.0,1.0,Quito,Av. Manuel Crdova Galarza,Quito,80-120,Medio
